ClientId,isMale,Birthday,Age,SkillsAcquired,HighestLevel,DateAdded
1023714,Male,2/16/1939,85,Carpinter,High School Level,3/12/2020
1021933,Male,10/24/1940,84,Administrative Clerk,College Graduate,2/13/2020
1369716,Male,3/22/1943,81,computer literate,College Graduate,3/20/2024
1333191,Male,5/22/1947,77,Laborer,High School Level,4/4/2023
1020808,Male,4/27/1948,76,Ware Houseman,College Graduate,1/20/2020
1021472,Male,11/12/1948,76,Technical,College Graduate,1/29/2020
1003726,Female,2/22/1949,75,Housekeeping/Theraphist,College Level,5/20/2019
1017712,Male,12/5/1949,75,Laborer,High School Graduate,11/20/2019
1017943,Female,8/7/1949,75,Housekeeping,Elementary Graduate,11/26/2019
1311038,Female,8/6/1949,75,Computer Literate,High School Graduate,8/25/2022
1017991,Female,12/30/1950,74,Typing,High School Graduate,12/4/2019
1020518,Female,11/17/1950,74,Basic Nihongo,High School Graduate,1/8/2020
1021429,Female,6/9/1950,74,Computer Literate,High School Graduate,1/27/2020
1212367,Female,7/15/1950,74,Housekeeping,High School Graduate,8/26/2021
1274683,Female,9/10/1950,74,COMPUTER LITERATE,High School Graduate,12/4/2021
1008638,Male,12/17/1951,73,Computer Literate,College Graduate,9/6/2019
1017490,Male,7/7/1951,73,Computer Literate,College Graduate,11/14/2019
1021741,Male,8/12/1951,73,Laborer,College Level,2/10/2020
1311019,Female,3/3/1951,73,Computer Literate,Vocational Graduate,8/25/2022
1329958,Female,1/15/1951,73,Housekeeping,College Level,3/1/2023
1330758,Female,2/19/1951,73,Housekeeping,College Level,3/10/2023
1330759,Female,1/15/1951,73,Housekeeping,College Level,3/10/2023
1017489,Male,9/7/1952,72,Maintenance,College Graduate,11/14/2019
1020906,Female,12/8/1952,72,Cook,High School Graduate,1/21/2020
1021520,Male,4/1/1952,72,Housekeeping,High School Graduate,2/4/2020
1021696,Male,6/28/1952,72,Laborer,High School Level,2/6/2020
1311063,Female,2/19/1952,72,Computer Literate,High School Graduate,8/25/2022
1017459,Female,2/7/1953,71,Housekeeping,High School Level,11/13/2019
1020476,Male,3/7/1953,71,Account Officer,College Graduate,1/7/2020
1212392,Female,6/1/1953,71,Housekeeping,High School Graduate,8/26/2021
1310709,Female,9/11/1953,71,Computer Literate,High School Graduate,8/17/2022
1310742,Female,7/13/1953,71,commputer literate,College Graduate,8/17/2022
1312082,Female,11/27/1953,71,Computer Literate,High School Graduate,9/12/2022
1312490,Female,9/7/1953,71,Computer Literate,Elementary Level,9/13/2022
1330757,Male,11/20/1953,71,Housekeeping,College Level,3/10/2023
1339578,Male,12/4/1953,71,Carpenter,High School Graduate,5/16/2023
1349594,Male,5/16/1953,71,Mason,High School Graduate,9/12/2023
1369471,Male,3/30/1953,71,Laborer,High School Graduate,3/13/2024
1017460,Male,5/8/1954,70,Electrician,High School Graduate,11/13/2019
1017966,Male,3/15/1954,70,Butcher,Elementary Level,11/29/2019
1020323,Male,12/3/1954,70,Driver,Senior High School Graduate,12/18/2019
1020637,Male,10/24/1954,70,Welder,High School Level,1/15/2020
1020665,Female,9/21/1954,70,Housekeeping,Vocational Graduate,1/15/2020
1021235,Female,9/25/1954,70,Pediatrician,College Graduate,1/22/2020
1021943,Female,4/8/1954,70,Cooking,High School Graduate,2/13/2020
1300245,Female,11/18/1954,70,Computer literate,High School Graduate,6/9/2022
1307873,Male,1/4/1954,70,computer literate,College Graduate,7/25/2022
1310631,Female,1/29/1954,70,cooking,High School Graduate,8/17/2022
1311300,Female,1/4/1954,70,Computer Literate,High School Graduate,8/31/2022
1312001,Female,10/8/1954,70,Computer Literate,Elementary Graduate,9/8/2022
1312461,Female,9/2/1954,70,Computer Literate,Elementary Level,9/13/2022
1332975,Male,12/16/1954,70,Computer Literate,College Graduate,3/29/2023
1341331,Male,6/14/1954,70,Project Engineer,College Graduate,6/7/2023
1351459,Male,6/30/1954,70,Mason,High School Graduate,10/3/2023
1017370,Male,1/1/1955,69,Housekeeping,High School Graduate,11/12/2019
1017983,Male,4/12/1955,69,Carpenter,High School Level,12/4/2019
1017995,Female,2/4/1955,69,Housekeeping,Elementary Graduate,12/5/2019
1018037,Male,10/26/1955,69,Operator Wood Furniture,High School Graduate,12/6/2019
1020921,Male,12/25/1955,69,HRM,College Level,1/21/2020
1022685,Female,7/22/1955,69,Housekeeping,High School Graduate,3/9/2020
1212380,Male,3/7/1955,69,Housekeeping,High School Graduate,8/26/2021
1282699,Female,1/1/1955,69,COMPUTER LITERATE,High School Level,12/18/2021
1310593,Female,12/16/1955,69,Computer Literate ,Elementary Graduate,8/17/2022
1310681,Female,3/2/1955,69,Computer Literate,High School Graduate,8/17/2022
1311008,Female,8/14/1955,69,Computer Literate,High School Graduate,8/25/2022
1311044,Male,7/30/1955,69,Computer Literate,High School Graduate,8/25/2022
1333252,Male,12/3/1955,69,Site Engineer,College Graduate,4/5/2023
1333440,Male,7/26/1955,69,Elecrtrician,College Level,4/12/2023
1350943,Male,8/9/1955,69,Mason,High School Graduate,9/27/2023
1360941,Male,6/7/1955,69,Computer Literate,High School Graduate,1/18/2024
1017992,Female,5/28/1956,68,Typing,College Graduate,12/4/2019
1020105,Male,7/24/1956,68,Carpenter,High School Graduate,12/10/2019
1021636,Female,3/8/1956,68,Clerk,College Graduate,2/5/2020
1125935,Female,11/11/1956,68,Housekeeping,Vocational Level,3/30/2021
1142119,Female,9/7/1956,68,Computer Literate,College Level,5/14/2021
1157154,Female,4/13/1956,68,Computer Literate,College Graduate,6/5/2021
1212398,Female,11/28/1956,68,Housekeeping,High School Graduate,8/26/2021
1279592,Male,7/23/1956,68,COMPUTER LITERATE,Elementary Graduate,12/11/2021
1296806,Female,4/4/1956,68,Computer Literate,High School Graduate,4/8/2022
1296881,Female,3/3/1956,68,Housekeeping,High School Level,4/12/2022
1300197,Female,6/8/1956,68,computer literate,High School Graduate,6/9/2022
1308548,Female,12/1/1956,68,computer literate,College Graduate,8/3/2022
1310657,Male,9/11/1956,68,Computer Literate,High School Graduate,8/17/2022
1311457,Female,6/28/1956,68,Computer Literate,High School Graduate,9/2/2022
1324229,Male,7/24/1956,68,Computer Literate,High School Graduate,12/7/2022
1327864,Male,8/14/1956,68,Computer Literate,High School Graduate,2/2/2023
1333259,Male,7/1/1956,68,Carpenter,College Graduate,4/5/2023
1333450,Male,1/23/1956,68,Plumber,High School Graduate,4/13/2023
1349435,Male,12/16/1956,68,Computer Literate,High School Graduate,9/9/2023
1349551,Female,5/27/1956,68,Housekeeping,College Graduate,9/12/2023
1001129,Male,4/12/1957,67,,College Graduate,1/22/2019
1016970,Male,12/16/1957,67,Computer Literate,College Graduate,11/7/2019
1018039,Male,6/18/1957,67,Instructor,College Graduate,12/6/2019
1020691,Male,11/4/1957,67,Engine Maintenance,Vocational Graduate,1/16/2020
1115571,Male,4/22/1957,67,Driving,Elementary Graduate,3/8/2021
1186163,Male,10/28/1957,67,masonry,Elementary Level,7/12/2021
1203288,Male,10/13/1957,67,Driver,High School Graduate,8/4/2021
1274277,Female,6/19/1957,67,Street sweeping,High School Graduate,12/4/2021
1274306,Female,12/10/1957,67,SKILLS LITERATE,High School Level,12/4/2021
1274482,Male,12/17/1957,67,COMPUTER LITERATE,High School Graduate,12/4/2021
1279549,Female,12/13/1957,67,COMPUTER LITERATE,High School Graduate,12/11/2021
1279571,Female,9/12/1957,67,COMPUTER LITERATE,Elementary Graduate,12/11/2021
1282715,Female,12/14/1957,67,Computer Literate,High School Level,12/18/2021
1293546,Female,3/13/1957,67,Housekeeping,High School Graduate,3/2/2022
1300178,Female,1/8/1957,67,computer literate,Elementary Graduate,6/9/2022
1300334,Male,1/5/1957,67,computer literate,College Graduate,6/10/2022
1328605,Male,3/5/1957,67,Computer Literate,High School Graduate,2/10/2023
1329489,Male,8/2/1957,67,Installer,High School Graduate,2/21/2023
1329959,Female,6/15/1957,67,Housekeeping,College Graduate,3/1/2023
1340993,Male,4/2/1957,67,Mason,High School Level,6/1/2023
1341816,Female,2/2/1957,67,Computer Literate,College Graduate,6/14/2023
1351515,Male,6/4/1957,67,Computer Literate,College Graduate,10/4/2023
1358098,Male,4/28/1957,67,Computer Literate,High School Level,12/11/2023
1017389,Female,3/18/1958,66,Sewer,High School Graduate,11/12/2019
1017985,Male,4/7/1958,66,Data Encoder,College Graduate,12/4/2019
1029784,Male,4/13/1958,66,heavy equipment operator,High School Graduate,7/22/2020
1213305,Female,12/18/1958,66,Housekeeping,High School Graduate,8/27/2021
1213321,Female,10/16/1958,66,Housekeeing,High School Level,8/27/2021
1222560,Male,6/25/1958,66,Computer Literate,Vocational Level,9/16/2021
1273038,Male,3/16/1958,66,computer literate,Vocational Graduate,12/3/2021
1274340,Female,5/3/1958,66,Computer literate,College Graduate,12/4/2021
1282720,Female,6/3/1958,66,COMPUTER LITERATE,Vocational Level,12/18/2021
1294366,Female,6/12/1958,66,Housekeeping,High School Graduate,3/16/2022
1296320,Male,10/13/1958,66,Computer Literate,College Level,3/29/2022
1298519,Female,11/24/1958,66,Computer Literate,Vocational Graduate,5/11/2022
1300225,Female,7/15/1958,66,computer literate,High School Graduate,6/9/2022
